metric,value
"avg_cadence","82"
"avg_heart_rate","157"
"avg_power","202"
"avg_speed","4.833"
"enhanced_avg_speed","4.833"
"enhanced_max_speed","13.853"
"event","session"
"event_group","0"
"event_type","stop"
"first_lap_index","0"
"max_cadence","136"
"max_heart_rate","179"
"max_power","368"
"max_speed","13.853"
"message_index","0"
"nec_lat","0"
"nec_long","0"
"num_laps","25"
"sport","cycling"
"start_position_lat","0"
"start_position_long","0"
"start_time","2025-11-05T10:56:12"
"sub_sport","virtual_activity"
"swc_lat","0"
"swc_long","0"
"timestamp","2025-11-05T11:52:24"
"total_ascent","613"
"total_calories","639"
"total_cycles","0"
"total_descent","0"
"total_distance","16005.28"
"total_elapsed_time","3310.0"
"total_fat_calories","0"
"total_timer_time","3311.0"
"total_training_effect","0.0"
"trigger","activity_end"
"unknown_193","None"
