start_time,end_time,duration,xml_type,target_power_pct,target_power_low_pct,target_power_high_pct,target_cadence,description,source,type,zone_class,power_type
0.0,180.00002,180.00002,warmup,0.0,0.44999996,0.60000002,0.0,Warmup,zwo,warmup,Z1,ramp_up
180.00002,240.000024,60.000004,steadystate,0.60000002,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
240.000024,300.000028,60.000004,steadystate,0.64999998,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
300.000028,360.000032,60.000004,steadystate,0.81,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
360.000032,420.00003599999997,60.000004,steadystate,1.09,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
420.00003599999997,540.000046,120.00001,steadystate,0.5,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
540.000046,720.000046,180.0,steadystate,0.90179998,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
720.000046,900.0000660000001,180.00002,steadystate,0.5,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
900.0000660000001,1200.000066,300.0,steadystate,0.8818,0.0,0.0,75.0,SteadyState,zwo,steadystate,Z1,steady
1200.000066,1500.000066,300.0,ramp,0.0,0.76179999,0.88980001,80.0,Ramp,zwo,ramp,Z1,ramp_up
1500.000066,1800.000066,300.0,ramp,0.0,0.75999999,0.88999999,85.0,Ramp,zwo,ramp,Z1,ramp_up
1800.000066,2100.000066,300.0,ramp,0.0,0.76179999,0.88980001,90.0,Ramp,zwo,ramp,Z1,ramp_up
2100.000066,2220.000066,120.0,steadystate,0.5018,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
2220.000066,2520.000066,300.0,steadystate,0.8818,0.0,0.0,75.0,SteadyState,zwo,steadystate,Z1,steady
2520.000066,2820.000066,300.0,ramp,0.0,0.76179999,0.88980001,80.0,Ramp,zwo,ramp,Z1,ramp_up
2820.000066,3120.000066,300.0,ramp,0.0,0.76179999,0.88980001,85.0,Ramp,zwo,ramp,Z1,ramp_up
3120.000066,3420.000066,300.0,ramp,0.0,0.76179999,0.88980001,90.0,Ramp,zwo,ramp,Z1,ramp_up
3420.000066,3540.000066,120.0,steadystate,0.5018,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
3540.000066,3840.000066,300.0,steadystate,0.8818,0.0,0.0,75.0,SteadyState,zwo,steadystate,Z1,steady
3840.000066,4140.0000660000005,300.0,ramp,0.0,0.75999999,0.88999999,80.0,Ramp,zwo,ramp,Z1,ramp_up
4140.0000660000005,4440.0000660000005,300.0,ramp,0.0,0.76179999,0.88980001,85.0,Ramp,zwo,ramp,Z1,ramp_up
4440.0000660000005,4740.0000660000005,300.0,ramp,0.0,0.76179999,0.88980001,90.0,Ramp,zwo,ramp,Z1,ramp_up
4740.0000660000005,4860.0000660000005,120.0,steadystate,0.5,0.0,0.0,0.0,SteadyState,zwo,steadystate,Z1,steady
4860.0000660000005,5040.000086000001,180.00002,cooldown,0.0,0.5,0.30000001,0.0,Cooldown,zwo,cooldown,Z1,ramp_down
